Data,Dia Semana,Meta Receita HERING ADULTO,Meta Receita KIDS,Meta Receita TOTAL,Meta Receita M�dia ADULTO,Meta Receita M�dia KIDS,Realizado Receita ADULTO,Realizado Receita KIDS,Realizado Receita TOTAL,Realizado Receita M�dia ADULTO,Realizado Receita M�dia KIDS,Realizado Receita M�dia TOTAL,Meta Sess�es Site,Meta Sess�es M�dia ADULTO,Meta Sess�es M�dia KIDS,Meta Sess�es M�dia TOTAL,Sess�es Realizadas Site,Realizado Sess�es M�dia TOTAL,Realizado Sess�es M�dia MKT ADULTO,Realizado Sess�es M�dia ECM ADULTO,Realizado Sess�es M�dia MKT KIDS,Realizado Sess�es M�dia ECM KIDS,Investimento Total,Investimento ECM ADULTO,Investimento ECM KIDS,Investimento MKT,Investimento MKT KIDS,CPS ECM ADULTO,CPS MKT ADULTO,CPS Geral ADULTO,ROAS ADULTO,ADCOST ADULTO,CPS ECM KIDS,CPS MKT KIDS,CPS Geral KIDS,ROAS KIDS,ADCOST KIDS,Investimento APP,Receita APP,ADCOST APP
19/fev,sexta-feira,R$358.326,R$129.735,R$488.061,R$207.829,R$71.354,R$279.722,R$94.647,R$374.369,R$167.317,R$31.364,R$198.681,126.714,69.693,27.877,97.570,114.656,74.460,1.593,46.178,854,12.035,42.621,R$24.815,R$7.884,R$6.833,R$3.089,0.54,4.29,0.66,6.7,8.87%,0.66,3.62,0.85,4,8.33%,R$21.556,R$12.285,13.79%
20/fev,s�bado,R$419.754,R$151.975,R$571.729,R$243.457,R$83.586,R$263.663,R$89.158,R$352.821,R$160.497,R$34.873,R$195.371,146.988,80.843,32.337,113.181,112.283,75.241,1.484,47.141,712,12.374,50.923,R$29.453,R$10.319,R$7.723,R$3.429,0.62,5.2,0.76,5.4,11.17%,0.83,4.82,1.05,3.4,11.57%,R$26.418,R$24.986,13.79%
21/fev,domingo,R$563.083,R$203.869,R$766.952,R$326.588,R$112.128,R$314.801,R$81.873,R$396.674,R$195.898,R$34.204,R$230.102,180.380,99.209,39.683,138.892,116.824,80.790,1.366,42.919,702,10.238,55.719,R$32.439,R$10.899,R$9.237,R$3.145,0.76,6.76,0.94,6,10.3%,1.06,4.48,1.28,3.1,13.31%,R$27.839,R$26.351,13.79%
22/fev,segunda-feira,R$542.608,R$196.456,R$739.064,R$314.713,R$108.051,R$355.579,R$81.626,R$437.205,R$191.878,R$31.952,R$223.831,182.914,100.602,40.241,140.843,126.330,80.445,1.798,52.522,1.028,11.182,49.449,R$27.863,R$10.582,R$7.749,R$3.256,0.53,4.31,0.66,6.9,7.84%,0.95,3.17,1.13,3,12.96%,R$28.176,R$23.211,13.79%
23/fev,ter�a-feira,R$450.466,R$163.096,R$613.562,R$261.270,R$89.703,R$318.752,R$73.558,R$392.310,R$166.287,R$34.235,R$200.522,197.674,108.720,43.488,152.209,130.120,88.494,1.749,62.462,832,9.746,42.788,R$29.410,R$9.918,R$1.750,R$1.710,0.47,1.0,0.49,5.7,9.23%,1.02,2.06,1.1,3.5,13.48%,R$28.283,R$14.204,13.79%
24/fev,quarta-feira,R$235.471,R$85.255,R$320.726,R$136.573,R$46.890,R$260.944,R$64.666,R$325.610,R$143.935,R$30.566,R$174.501,182.914,100.602,40.241,140.843,121.259,88.875,1.595,64.415,949,9.771,39.066,R$27.234,R$8.679,R$1.986,R$1.167,0.42,1.25,0.44,5.3,10.44%,0.89,1.23,0.92,3.5,13.42%,R$28.535,R$21.392,13.79%
25/fev,quinta-feira,R$358.326,R$129.735,R$488.061,R$207.829,R$71.354,R$353.734,R$106.977,R$460.711,R$189.613,R$38.936,R$228.549,157.064,86.385,34.554,120.939,133.806,99.131,1.808,70.263,1.161,11.613,45.429,R$31.977,R$10.298,R$1.988,R$1.165,0.46,1.1,0.47,5.9,9.04%,0.89,R$1.00,0.9,3.8,9.63%,R$30.098,R$23.078,13.79%
26/fev,sexta-feira,R$373.682,R$135.295,R$508.977,R$216.736,R$74.412,R$225.194,R$41.718,R$266.912,R$124.455,R$17.114,R$141.569,126.714,69.693,27.877,97.570,132.791,94.941,1.666,69.720,1.084,10.641,49.963,R$27.450,R$9.542,R$11.819,R$1.152,0.39,7.09,0.55,4.5,12.19%,0.9,1.06,0.91,1.8,22.87%,R$22.493,R$11.909,13.79%
27/fev,s�bado,R$348.088,R$126.028,R$474.116,R$201.891,R$69.315,R$286.663,R$63.144,R$349.807,R$157.908,R$22.817,R$180.725,141.919,78.056,31.222,109.278,133.938,93.689,3.498,64.938,943,9.356,48.736,R$26.001,R$9.797,R$11.786,R$1.151,0.4,3.37,0.55,6.1,9.07%,1.05,1.22,1.06,2.3,15.52%,R$12.764,R$14.938,13.79%
28/fev,domingo,R$307.137,R$111.202,R$418.339,R$178.139,R$61.161,R$390.779,R$80.209,R$470.989,R$218.478,R$34.498,R$252.976,168.539,92.697,37.079,129.775,149.357,107.169,8.660,73.141,1.580,8.825,65.693,R$42.408,R$10.338,R$11.794,R$1.152,0.58,1.36,0.66,5.2,10.85%,1.17,0.73,1.1,3.3,12.89%,R$8.195,R$17.575,13.79%
29/fev,segunda-feira,R$286.660,R$103.788,R$390.448,R$166.263,R$57.083,R$398.927,R$74.493,R$473.421,R$218.683,R$23.619,R$242.302,171.073,94.090,37.636,131.726,150.929,107.956,7.650,73.182,2.030,8.663,62.641,R$39.630,R$10.072,R$11.787,R$1.152,0.54,1.54,0.64,5.5,9.93%,1.16,0.57,1.05,2.3,13.52%,R$7.322,R$19.416,13.79%
